Marker	LG	cM	ChrPos
AI_19-F11	6	60.262	14079266
CMPSNP2075	6	60.628	14479333
CMPSNP2074	6	62.11	16021571
CMPSNP2462	6	62.11	16225874
CMPSNP2461	6	62.11	16236146
CMPSNP2460	6	62.11	16236757
CMPSNP2458	6	62.11	16291886
CMPSNP3504	6	62.11	16453801
CMPSNP3503	6	62.11	16515766
CMPSNP2142	6	62.11	17352523
CMPSNP2136	6	62.11	18336438
CMPSNP2135	6	62.476	18389077
CMPSNP860	6	62.476	18718127
CMPSNP2024	6	62.695	19749540
CMPSNP793	6	62.842	21685079
CMPSNP2025	6	63.208	24072014
CMPSNP107	6	63.574	24701609
CMPSNP509	6	66.196	25991379
CMPSNP2029	6	68.823	28380709
CMPSNP2030	6	68.823	28447097
CMPSNP2228	6	69.189	28866355
CMPSNP593	6	69.189	29279119
CMPSNP2229	6	69.189	29549792
CMPSNP295	6	69.189	30034189
PS_19-B07	6	70.671	30554855
CMPSNP73	6	72.529	31735091
CMPSNP1021	6	73.637	32248965
AI_05-H08	6	78.722	33055951
A_38-F04	6	83.003	33697636
CMPSNP561	6	87.512	34090718
PS_28-B07	6	102.471	34932755
CMPSNP378	6	107.983	35370630
MC042	6	107.983	35376312
CMPSNP234	6	113.552	35616090
MC373	7	0	1124209
CMPSNP745	7	0	1220499
AI_05-F11	7	8.156	1688850
AI_27-F07	7	25.361	2666506
CMPSNP305	7	29.958	3179690
CMPSNP579	7	35.439	4187680
AI_25-C11B_VII	7	36.171	4584655
CMPSNP2237	7	36.895	4677838
CMPSNP262	7	37.624	5135570
CMPSNP2236	7	37.624	5160190
CMPSNP2606	7	37.624	5437907
CMPSNP2608	7	37.624	5409414
CMPSNP2291	7	37.624	5496563
CMPSNP3834	7	37.624	5626579
CMPSNP2297	7	39.083	5960833
CMPSNP2302	7	40.174	6223230
CMPSNP95	7	40.174	8571636
CMPSNP2469	7	41.634	6618274
CMPSNP4240	7	41.634	6633761
CMPSNP2468	7	41.634	6616339
CMPSNP2472	7	41.634	6695383
CMPSNP2015	7	41.634	6886643
CMPSNP3027	7	41.634	6964215
CMPSNP3021	7	42.487	10359533
CMPSNP3020	7	43.806	10772530
CMPSNP171	7	43.806	11061587
CMPSNP2287	7	43.806	11252174
CMPSNP2284	7	44.167	11422400
CMPSNP2282	7	44.167	11511631
CMPSNP2279	7	44.167	11865163
CMPSNP2119	7	44.167	12206833
CMPSNP2041	7	44.167	12424755
CMPSNP2040	7	44.167	12478770
CMPSNP2039	7	44.167	13743762
CMPSNP1009	7	44.167	15691154
CMPSNP2038	7	44.167	15839153
CMPSNP2179	7	44.167	16593804
HS_04-F11	7	44.528	17029519
CMPSNP2177	7	45.252	18117983
CMPSNP2570	7	45.252	18223735
CMPSNP2569	7	45.252	18233312
CMPSNP2567	7	45.252	18248809
CMPSNP2028	7	45.613	18919535
CMPSNP899	7	46.704	20092193
CMPSNP564	7	47.183	20959785
CMPSNP188	7	49.691	21727734
CMPSNP344	7	53.494	22273968
CMPSNP996	7	58.117	22725962
CMPSNP56	7	61.514	22956081
AI_08-H11	7	64.732	23307716
CMPSNP1039	7	83.591	24457997
CMPSNP465	7	89.877	25186829
CMPSNP481	7	96.588	25558329
CMPSNP23	7	99.579	26069707
MC125	7	101	26150493
CMPSNP105	7	105.397	26640862
CMPSNP678	7	105.758	26710149
CMPSNP875	8	0	340946
CMPSNP1147	8	1.854	929267
MC301	8	8	1507976
PS_28-E01	8	9.483	1613388
CMPSNP1037	8	13.707	2502483
CMPSNP664	8	21.77	3173574
CMPSNP535	8	27.645	4053585
CMPSNP379	8	32.262	4586212
CMPSNP62	8	37.262	5282726
CMPSNP428	8	42.236	6093000
CMPSNP510	8	48.988	6824436
CMPSNP795	8	49.713	7023808
CMPSNP2167	8	53.493	8018034
CMPSNP2166	8	54.587	8196601
CMPSNP281	8	57.182	8679059
CMPSNP2165	8	58.273	8838952
CMPSNP2164	8	58.634	9104923
CMPSNP967	8	58.634	9228443
CMPSNP2042	8	58.634	10144212
CMPSNP2043	8	58.634	10213634
CMPSNP2053	8	58.634	10910492
CMPSNP2056	8	58.995	13287400
CMPSNP2441	8	59.356	14289412
CMPSNP2438	8	59.356	14383496
CMPSNP2436	8	59.356	14516394
F013	8	59.356	16277890
CMPSNP2371	8	59.717	16858962
CMPSNP2370	8	59.717	16859775
CMPSNP4029	8	59.717	16952579
CMPSNP2367	8	59.899	17243113
CMPSNP2366	8	60.078	17254423
CMPSNP2009	8	60.802	17731497
CMPSNP2008	8	60.802	19108079
CMPSNP347	8	60.802	19340171
CMPSNP2007	8	63.012	22758618
CMPSNP2006	8	65.984	23972024
CMPSNP2216	8	69.334	25588371
CMPSNP2215	8	69.334	25589357
CMPSNP2210	8	69.334	25607746
CMPSNP2209	8	70.059	26329164
CMPSNP2208	8	71.15	26454275
CMPSNP2255	8	71.511	26749360
CMPSNP397	8	72.971	27181051
CMPSNP2254	8	72.971	27261366
CMPSNP4102	8	73.332	27509980
CMPSNP2395	8	73.332	27335433
CMPSNP2289	8	73.332	28156987
CMPSNP354	8	73.693	28540652
CMPSNP1092	8	73.693	28543330
CMPSNP2290	8	77.755	28881097
PSI_25-H03	8	77.359	29521018
CMPSNP1166	8	81.501	29572366
CMPSNP2001	8	83.073	29731544
HS_39-A03	8	89.289	30129007
CMPSNP205	8	102.521	32470038
CMPSNP1066	8	103.245	31849243
CMPSNP261	9	0	57880
CMPSNP173	9	4.131	593219
CMPSNP761	9	18.871	1209380
MC092	9	20	1478015
CMPSNP601	9	25.081	1804263
CMPSNP393	9	28.417	2251162
CMPSNP2081	9	32.954	2744696
FR18J20	9	34.396	3535695
CMPSNP504	9	34.396	3563979
A_17-A08	9	34.396	4153291
CMPSNP450	9	35.11	4675603
CMPSNP1077	9	35.825	5054985
CMPSNP2231	9	35.825	5456090
CMPSNP2233	9	37.264	6195339
CMPSNP895	9	37.62	6524437
CMPSNP1063	9	37.62	7065485
PSI_12-C05b	9	38.334	7822280
CMPSNP320	9	39.048	8738784
CMPSNP17	9	39.404	9535298
AI_39-A12	9	39.404	9932518
PSI_25-B05	9	39.76	11654654
PSI_23-G11B	9	39.76	11775781
AI_04-D08	9	39.76	12299361
CMPSNP2121	9	40.116	13263635
CMPSNP2197	9	41.039	14247802
CMPSNP2196	9	42.261	14781378
CMPSNP144	9	42.261	14866036
CMPSNP103	9	43.336	16229987
CMPSNP590	9	44.411	17249828
CMPSNP254	9	45.126	18075185
CMPSNP145	9	49.631	19425119
PSI_21-D01	9	54.962	19984510
CMPSNP159	9	60.701	20534899
CMPSNP356	9	72.73	21345804
CMPSNP306	9	81.423	22185086
CMPSNP897	9	88.861	22857368
CMPSNP890	9	95.084	23498582
EST1.17	9	96	23575881
CMPSNP472	9	98.431	23816574
CMPSNP84	10	0	331140
CMPSNP238	10	10.224	1222307
CMPSNP16	10	16.198	1722493
PS_40-E11	10	23.929	2606260
CMPSNP762	10	35.081	3983914
CMPSNP671	10	44.753	4747816
CMPSNP456	10	53.895	5464233
CMPSNP3506	10	54.258	5700393
CMPSNP2145	10	54.258	5691910
CMPSNP2558	10	55.357	7701062
CMPSNP4282	10	55.357	7722049
CMPSNP2152	10	58.729	9185159
CMPSNP2154	10	58.729	9708946
CMPSNP2330	10	59.39	7813309
CMPSNP2331	10	60.189	8042756
CMPSNP2073	10	60.189	9156546
CmEXP3	10	60.189	10543565
CMPSNP113	10	60.553	11536063
CMPSNP2202	10	60.189	12495594
CMPSNP3663	10	60.189	13126191
CMPSNP2203	10	60.917	13189357
CMPSNP2385	10	60.917	13663535
CMPSNP2388	10	60.917	13894011
CMPSNP2387	10	60.917	13764712
CMPSNP2404	10	60.917	13999732
CMPSNP2403	10	61.647	14086177
CMPSNP2400	10	61.647	14136143
CMPSNP2399	10	61.647	14191004
CMPSNP2397	10	61.647	14287139
CMPSNP2095	10	61.647	16709739
CMPSNP2035	10	62.377	16825024
CMPSNP3046	10	62.377	17060552
CMPSNP666	10	64.979	19615915
CMPSNP13	10	64.979	19960124
CMPSNP2034	10	64.979	20822619
CMPSNP2031	10	66.078	20942650
AI_38-B09B	10	66.078	21092116
CMPSNP850	10	66.078	21103151
CMPSNP550	10	66.442	21340177
CMPSNP2304	10	66.442	21446876
CMPSNP2308	10	66.442	21933651
CMPSNP3943	10	66.442	21953370
CMPSNP2310	10	66.442	22194917
CMPSNP2351	10	66.442	22749164
CMPSNP2358	10	66.442	23056921
CMPSNP2357	10	66.442	22973538
CMPSNP2618	10	66.442	25221893
CMPSNP2619	10	66.442	25247521
CMPSNP245	10	66.442	24784300
CMPSNP878	10	66.442	24956268
CMPSNP2529	10	67.172	25324727
CMPSNP5003	10	67.172	25281852
CMPSNP2130	11	0	96733
CMPSNP2131	11	0	303752
CMPSNP253	11	8.429	1183481
CMPSNP2132	11	8.429	2059542
CMPSNP258	11	8.429	2450086
CMPSNP235	11	8.429	2534040
MC326	11	8.249	2643786
CMPSNP493	11	8.429	3391776
CMPSNP772	11	8.429	4062923
CMPSNP2089	11	12.141	4568530
CMPSNP2088	11	12.502	4655426
CMPSNP2086	11	21.975	6839763
CMPSNP2170	11	23.461	7001961
CMPSNP2171	11	23.461	7010336
CMPSNP2175	11	27.194	7930762
CMPSNP2176	11	27.194	8000439
CMPSNP2057	11	29.777	9112552
CMPSNP2058	11	29.777	9142885
CMPSNP845	11	34.296	11228694
CMPSNP864	11	35.756	12244647
CMPSNP2059	11	35.756	12676615
CMPSNP2250	11	36.138	13512753
FR12O13	11	36.521	13859652
CMPSNP476	11	36.889	14500639
A_05-A02	11	39.175	17545438
CMPSNP2023	11	39.554	18323003
CMPSNP3039	11	40.814	19557864
CMPSNP586	11	41.59	19978941
CMPSNP670	11	41.59	20068770
CMPSNP3758	11	42.676	20357252
CMPSNP2247	11	43.037	20381915
CMPSNP2246	11	44.496	20453999
CMPSNP2445	11	48.591	21072993
CMPSNP2446	11	48.591	21103333
CMPSNP2444	11	48.591	20985515
CMPSNP555	11	48.591	21267992
CMPSNP228	11	48.591	21372383
CMPSNP429	11	48.591	21387516
AI_22-A08	11	48.952	21469690
CMPSNP1016	11	50.043	25423295
CMPSNP2240	11	51.503	25820438
CMPSNP2241	11	52.593	25974206
CMPSNP2463	11	53.684	26042008
CMPSNP2464	11	53.684	26049545
CMPSNP2465	11	54.045	26071693
CMPSNP2466	11	54.045	26074223
CMPSNP2467	11	55.136	26162536
CMPSNP862	11	59.325	26402444
PSI_41-B07	11	61.935	26664993
CMPSNP728	11	70.512	27446486
CMPSNP389	11	86.245	28589488
PSI_35-H10B	11	89.249	28850751
CMPSNP315	11	91.859	29625649
CMPSNP934	11	94.492	29805701
CMPSNP474	11	98.283	30264695
EST2.75	11	105	30834271
CMPSNP419	11	107.314	31188676
A_18-A08	12	0	145823
CMPSNP385	12	0	347706
CMPSNP923	12	12.912	2093562
PSI_12-D12	12	15.874	2798308
MC132	12	16	2932478
CMPSNP2417	12	16.588	3318139
CMPSNP2420	12	16.944	3486818
CMPSNP2421	12	17.3	3492947
CMPSNP523	12	18.014	3849098
CMPSNP310	12	20.189	5142112
CMPSNP348	12	23.113	6437369
CMPSNP211	12	26.037	12831083
AI_35-A08	12	26.037	12996005
CMPSNP193	12	26.037	13471802
CMPSNP2235	12	26.037	14113126
CMPSNP2265	12	26.037	14197410
CMPSNP2264	12	26.037	14215591
CMPSNP2261	12	26.392	14794044
CMPSNP2260	12	28.935	15099342
CMPSNP2083	12	30.411	15693192
AI_09-G07	12	31.134	16788888
CMPSNP557	12	31.864	16994092
CMPSNP2084	12	32.22	17811854
CMPSNP759	12	33.296	19320943
CMPSNP284	12	37.859	20707219
CMPSNP1056	12	54.527	22675600
CI_57-E03	12	59.121	23564080
MC286	12	62	23613137
CMPSNP5	12	69.969	24485652
FR14F22	12	81.051	25303646
CMPSNP779	12	90.978	26095979
